Close,High,Low,Open,Volume,EMA_13,EMA_21,RSI,MACD,MACD_signal,ATR,day_sin,day_cos,month_sin,month_cos,Company_name
78.26000213623047,80.56999969482422,77.5999984741211,78.23999786376953,58635,124.69807076147575,179.47126509916617,3.0588870317637173,-89.73207489634595,-86.14714838259643,33.15000098092215,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,JSL
75.06999969482422,79.4800033569336,74.5,78.19999694824219,35773,117.60834632338268,169.98024097149872,3.0331060157236607,-86.45687964118154,-86.20909463431344,29.93428693498884,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,JSL
77.44999694824219,78.0,75.5999984741211,75.66000366210938,38767,111.87143926979118,161.5684006057481,43.69483000304984,-82.715722556194,-85.51042021868955,5.0721435546875,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,JSL
80.19000244140625,82.87999725341797,77.94999694824219,78.19999694824219,81592,107.34551972287906,154.17036440898977,50.54811279419275,-78.62341132427107,-84.13301843980585,5.060000828334263,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,JSL
81.69999694824219,83.0,80.5999984741211,80.80000305175781,74923,103.68187361221666,147.58214918528543,67.1486829464794,-74.40073588191407,-82.1865619282275,4.55571528843471,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,JSL
82.47000122070312,83.55999755859375,80.80000305175781,82.80000305175781,48468,100.65160612771474,141.66286300668705,67.96818713914844,-70.18307545511996,-79.785864633606,4.225714547293527,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,JSL
82.69999694824219,84.0,81.0,83.9800033569336,45605,98.08709053064725,136.30260245591933,58.148316595754494,-66.06048628258449,-77.0407889634017,3.841428484235491,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,JSL
91.81999969482422,93.9800033569336,83.4000015258789,83.76000213623047,231558,97.19179183981538,132.25872947763796,70.81955978951343,-61.35018985955915,-73.90266914263319,4.319286346435547,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,JSL
88.88999938964844,94.36000061035156,87.05999755859375,93.0,165466,96.00582148979154,128.3161176514571,64.56763702566272,-57.194371434415885,-70.56100960098973,4.8407151358468195,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,JSL
90.27999877929688,91.98999786376953,89.25,90.80000305175781,63084,95.18784681686374,124.8582886630789,72.39846637572343,-53.17571748694519,-67.08395117818083,4.633572169712612,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,JSL
91.2699966430664,93.80000305175781,90.25,90.5999984741211,65856,94.6281539348927,121.80480757035048,72.20446092848505,-49.34223416589742,-63.535607775724145,4.562858036586216,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,JSL
90.29000091552734,92.27999877929688,90.19999694824219,92.0,32792,94.00841778926907,118.93982514718473,76.094278775536,-45.85466445199248,-59.99941911097782,4.456429617745536,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,JSL
94.75,95.80000305175781,91.0199966430664,91.58000183105469,89700,94.11435810508777,116.7407501338043,79.20937117692424,-42.24389435655924,-56.4483141600941,4.550000871930804,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,JSL
93.26000213623047,97.9800033569336,92.19999694824219,96.0,54634,93.99230725239387,114.6061366794794,73.6260410483545,-39.052391754038354,-52.96912967888295,4.53428704398019,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,JSL
93.61000061035156,94.80000305175781,92.80000305175781,93.41999816894531,32050,93.9376920178164,112.6973970368314,73.59360997577028,-36.07896514439511,-49.59109677198539,4.465001242501395,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,JSL
93.61000061035156,93.61000061035156,93.61000061035156,93.61000061035156,0,93.89087895960714,110.96217917987869,81.59510574412498,-33.33820110385528,-46.34051763835937,4.109286717006138,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,JSL
95.72000122070312,97.0,93.9000015258789,94.80000305175781,55387,94.15218213976371,109.57652663813545,81.42416453251771,-30.642637193160937,-43.20094154931969,4.142143794468471,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,JSL
98.63999938964844,100.80000305175781,96.80000305175781,98.19999694824219,90553,94.79329888974725,108.58229688827299,81.5384727743936,-27.9485899767961,-40.15047123481497,4.117143903459821,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,JSL
96.30000305175781,99.95999908447266,95.19999694824219,99.95999908447266,37809,95.00854234146304,107.46572472131706,74.2686380002861,-25.706033147888476,-37.26158361742967,4.256429944719587,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,JSL
97.08000183105469,99.38999938964844,96.0,97.5999984741211,51809,95.30446512569043,106.52156809492956,74.27718477446746,-23.59387580782733,-34.528042055509204,4.301430293491909,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,JSL
98.69999694824219,100.5999984741211,97.20999908447266,97.20999908447266,109655,95.78954110034067,105.81051617250344,75.41297637697569,-21.540945223698046,-31.930622689146976,4.338572910853794,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,JSL
98.41000366210938,100.91999816894531,98.22000122070312,100.0,64503,96.16389289487907,105.13774230792217,64.54748874704971,-19.710176336180595,-29.4865334185537,3.725715092250279,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,JSL
